Land Area (acres),Extra Assets Worth (Lakhs),Annual Income (Lakhs),Previous Loans,Repaid Loans,Ongoing Loans,Assets Insurance Coverage,Soil Quality,Water Availability,Land Ownership Status,Weather Forecast,Credit Score
38.07947176588889,595.1961083858649,20.811426916293915,8,7,0,0,2,0,2,1,655.5
95.1207163345817,364.7806711448414,60.00755324336589,4,5,4,0,2,2,2,2,617.79
73.46740023932911,5.475082530185723,127.4960482692816,4,1,4,0,1,0,2,1,441.89
60.26718993550662,561.1316172213209,87.41634884485647,2,7,2,0,0,0,1,2,572.59
16.445845403801215,896.5807541074826,44.505254813892066,7,8,2,1,0,0,2,0,627.82
16.443457513284063,531.7637302729017,198.16408512063308,8,7,0,1,0,2,1,0,667.69
6.750277604651747,780.5096331146376,131.01765222265118,6,1,4,1,0,0,1,2,513.51
86.75143843171858,162.03811363032185,164.12840672233136,8,3,1,0,2,1,2,1,614.54
60.510386162577674,137.3839380868981,180.99507318956412,9,2,4,0,0,2,1,0,440.38
71.09918520180851,893.9541479802862,27.98813926862302,3,5,3,1,2,0,1,2,649.12
3.0378649352844422,783.0198859351159,31.501844335056628,5,6,1,0,0,0,2,1,582.04
97.02107536403744,347.4755906511597,61.77439143840065,7,8,0,0,0,1,1,0,593.79
83.41182143924175,800.1923343381793,184.42083174724084,4,8,0,0,1,0,2,0,703.64
22.02157195714934,75.41801450808408,141.5948108398532,0,4,2,1,0,2,2,2,603.99
19.00067175350296,517.9486758541362,105.93126911121934,3,9,2,0,2,0,1,1,599.23
19.15704647548995,881.4680934985298,64.01749110240436,7,8,3,1,1,0,1,2,643.51
31.119982052994235,843.6163446237535,109.44723516452464,9,7,2,0,2,2,1,2,690.17
52.950886731591545,371.3163745033668,169.20509874415362,6,5,4,0,0,1,1,1,496.28
43.76255684556946,228.92591580695247,152.26893966898405,9,6,4,0,0,0,2,1,494.76
29.83168487960615,867.8781172723093,40.8515136647676,6,0,4,0,0,0,1,2,455.22
61.573436577515565,266.97410328857916,8.410995288951913,2,3,2,0,2,0,1,0,473.99
14.809892204552142,822.0424112360053,80.69773050410888,5,8,3,0,0,1,2,1,603.52
29.922320204986598,266.59084767512036,107.78812188433724,5,4,4,0,0,2,1,2,493.99
37.269822486075476,984.5348210836389,10.995573543662545,3,0,3,0,2,2,1,2,581.74
46.150928437486556,360.1841809473881,94.35932558599711,7,5,3,1,2,1,2,2,649.02
78.73242017790835,255.4360836607942,84.76130562739502,3,5,0,0,1,0,2,2,626.48
20.767704433677615,599.2678077339909,12.269361083149306,9,6,2,1,2,0,1,1,599.35
51.909209402947546,359.7740469650331,72.85370612539872,4,0,1,1,0,1,2,2,588.44
59.64904231734221,810.4464381979084,133.49635170653445,9,8,2,0,0,1,2,1,658.63
5.598590859279775,732.7764096820162,49.34128697608578,6,6,0,0,2,2,1,2,686.32
61.146940338242395,632.532237962888,109.35966019048139,2,0,3,1,2,0,2,0,563.14
17.88188824504186,422.07125612190185,86.65323649252994,5,8,0,1,2,2,2,1,746.05
7.4401077055426725,834.6276442005852,113.56606047538726,0,4,3,1,1,0,1,0,550.99
94.93966818807999,306.2066166170617,161.53877990930573,2,1,4,1,0,1,2,2,564.68
96.59757127438138,295.7922964006824,132.32827020888655,3,1,2,0,1,0,1,0,475.94
81.03133746352965,91.56654315265617,33.09166032998193,5,0,1,1,0,0,1,2,503.3
31.156763148163698,563.5438176028906,95.35361587307493,3,0,3,0,1,2,1,1,502.95
10.669539286632004,696.9749791421468,10.410308109776162,2,0,4,0,1,1,2,1,477.53
68.73906962470353,713.0266718188489,90.01747742583402,8,8,2,0,2,1,1,1,653.04
44.57509688022053,861.418357325952,80.23925825209285,0,4,1,0,0,2,2,2,668.43
13.081785249633104,567.2037573645288,85.52590533806018,9,3,2,1,2,1,1,2,620.74
50.02251410101575,25.61890445891271,188.34602057282487,0,8,1,0,2,0,1,0,563.9
4.404463590406621,175.47289897835014,188.7852955168816,7,2,4,0,0,1,2,1,455.43
91.02271980579943,561.3743366345575,158.7413075253795,7,8,2,0,2,1,2,2,719.97
26.619218178401674,317.54569890907965,89.46391599902097,6,2,0,0,2,2,2,2,645.46
66.58970615104421,864.2295058862935,5.9310697345462975,5,5,2,0,0,1,1,0,545.28
31.859396532851683,228.6240095809856,195.1272979454282,9,8,4,0,0,2,1,2,557.37
52.48673409660327,255.34354018132228,189.46511561334256,1,5,4,0,0,1,1,0,463.99
55.12431765498469,843.0012116343818,163.28889977475794,9,8,0,0,0,2,2,2,760.39
19.300591097027176,581.3578940401808,54.79101885919921,3,6,1,0,0,0,2,0,548.27
96.9888781486913,313.1389404616991,91.3933618484811,7,2,0,0,0,0,1,2,550.11
77.73814951275034,921.629553235506,176.57355513777136,1,8,0,1,2,1,2,2,853.02
94.01039521485473,331.9849800363892,87.24165129603698,5,4,4,0,1,0,1,0,456.81
89.58790769233724,126.95013523787914,50.79994161659829,0,8,1,0,2,0,1,2,608.67
60.19209790229743,789.4504495861012,113.8332940430844,3,6,0,1,1,1,1,2,733.35
92.26554926728856,464.6268266403157,128.29779964668654,9,8,0,0,1,1,1,0,643.99
9.76075770314003,478.58534403876047,141.61054958477658,6,8,2,0,2,2,1,1,633.58
20.402303379495375,56.35181976332791,19.53448524237224,6,8,0,0,2,2,1,1,607.52
5.477501602143269,968.632143530649,133.59939315204304,3,7,1,0,0,1,2,1,663.48
33.20770274556317,272.26030548261565,113.2653232076786,0,5,3,0,0,2,2,0,520.74
39.47905167925872,297.01128092225815,55.79575526997591,6,3,4,1,2,1,2,2,583.01
27.863554145615694,266.34869008946646,192.6278382504991,8,4,4,0,1,2,1,0,489.47
83.04501340604101,756.313988705725,162.20932436189977,4,9,2,1,2,0,1,1,716.48
36.31857934266534,931.9676924887068,89.62406671588715,3,6,3,1,0,2,2,2,698.27
28.812516459050695,389.2263431498405,155.83711037726792,4,4,1,1,0,2,2,1,647.0
54.7269122326666,376.5178693179025,168.73917043310558,9,8,1,1,0,0,1,1,625.67
14.951498272501501,423.33919602706493,111.91351922867678,0,9,1,1,2,1,2,0,692.5
80.41750109464992,689.8047956914062,98.06972296981776,1,2,4,0,0,0,1,0,448.09
8.380513724297312,894.9822759300348,46.756777351556806,8,9,4,0,2,1,2,0,612.76
98.70180672345121,664.5873463323828,85.87849810695732,4,9,3,0,0,2,1,2,648.75
77.45223216036908,913.7133490268783,3.993590892840644,3,3,3,0,1,0,2,2,590.58
20.67285247188307,579.8713798358284,27.05078905393935,6,6,3,0,2,0,2,0,542.28
1.5466895952366375,218.95943592416302,152.20425941803398,8,9,0,0,0,1,2,1,625.28
81.73068141702858,808.3457616917099,40.17458746061828,9,9,3,1,2,1,1,2,716.79
70.9788770409141,202.98915209461987,89.98588156681657,8,7,4,0,0,1,1,1,489.91
73.17170963605774,523.3272088472945,75.7052120096581,9,0,1,1,1,0,1,2,583.12
77.35576432190862,430.47623725919186,10.499874183254272,8,0,3,1,2,1,2,2,594.0
8.330420521674945,898.1733474814724,193.82701331332265,9,8,4,1,1,1,1,2,670.63
36.48810712588299,407.67256376247343,19.355841352350144,0,4,3,0,2,2,2,2,597.66
12.471036892987842,813.1655194509218,74.9681878095057,2,6,2,1,2,1,2,2,716.49
86.44723916168375,471.6071272419003,140.2428229759691,9,1,4,1,0,2,1,2,563.38
62.70651455592824,348.03524819866243,169.6666492503273,8,4,0,1,1,1,2,0,661.21
33.75890446041227,596.7680611482583,50.96381775423249,4,7,3,1,1,2,2,0,637.4
7.29227667831634,360.89008666719155,85.94358869684082,1,8,0,0,0,2,1,0,582.48
31.787249849850557,317.0870516996562,156.9108091194447,2,9,3,0,0,2,1,2,593.67
33.19314888064796,970.4056212071831,140.17765388771318,1,0,0,0,2,0,1,1,608.28
73.23101165546834,970.8636667981267,119.63917485049417,6,2,0,1,0,1,2,0,680.4
64.1181896641661,726.0184378142,69.896041885517,9,9,2,1,1,2,1,1,705.93
88.83406151505633,927.3797067047531,74.39433420896012,1,7,0,0,1,1,1,2,718.64
47.74927759103298,872.8907133197488,66.78576880881477,7,0,2,1,2,1,1,2,633.18
12.83983034789187,350.95169233577934,147.05188146980166,4,1,0,1,1,1,2,2,644.7
71.6112339350765,827.3948231462724,57.53804623915681,7,2,3,1,0,2,2,0,601.92
76.31771981307284,832.8419990163856,13.914724041312457,5,5,4,0,1,2,1,1,571.3
56.56644255938013,766.9444281926536,79.92199226552651,4,2,3,1,1,0,1,1,558.16
77.32575081550154,214.57680778456333,75.08802492093936,1,8,1,0,0,2,2,1,630.46
49.88576404007468,636.5534866502294,196.56609718251158,9,5,1,0,1,2,2,0,660.16
52.750550108817414,631.9798409833252,48.62672653476917,9,0,3,1,2,1,2,2,614.88
43.326560817496414,800.4718823788426,17.52334531134093,5,4,3,0,1,1,2,0,553.01
3.5164935476654238,411.5495477574491,3.8193181589933296,2,9,2,1,1,1,1,1,602.42
11.681251272337141,590.0684516774185,87.94515003096048,5,5,4,1,0,1,2,0,541.82
4.111489382986691,141.95153512328952,160.80888373342367,0,4,4,0,2,0,1,2,479.8
64.00463071511426,87.49328570594422,9.30144011996493,7,5,3,0,0,2,1,2,501.0
32.12124212655634,597.8821136196187,62.465700000572376,0,4,3,0,0,2,1,0,499.74
51.34849842530557,328.7432463197261,26.08150766453428,2,2,4,0,2,1,1,1,468.89
90.84908091868321,126.72844057723195,183.53952233820604,4,0,0,1,1,2,1,1,616.85
25.67993068573862,405.09273552598853,155.00120727537117,4,4,2,1,2,2,2,2,693.76
41.62790938052734,432.5896304075658,43.49108710541982,2,9,0,0,2,0,1,1,631.86
75.79956271576182,789.2506351742885,186.38453716457695,6,8,3,0,0,2,2,0,652.71
23.651018383670625,880.7239957540407,144.20387813959894,1,5,1,0,1,1,2,0,640.9
8.621011073050507,510.871269626703,20.948351421579066,6,4,3,1,1,1,2,0,550.5
29.685393838463035,824.5657732403338,182.5603417659896,7,7,2,0,0,0,1,2,611.17
16.960907438146435,609.8141356421779,153.7520596817767,8,2,2,0,2,2,2,2,643.39
93.04006758191473,330.9075820008999,173.3163544141616,8,0,2,1,1,0,2,1,581.05
81.00391757687729,705.5074951261685,136.5211766808243,9,0,1,0,1,2,1,0,575.57
63.706971894531925,317.6410582651577,20.888314256484506,0,1,2,0,1,1,2,2,542.0
87.27459842858406,4.606613301389216,93.78112829434235,5,7,2,0,1,0,2,1,556.79
80.56353561301233,104.87361874679405,69.02208253023532,9,6,0,0,0,1,2,0,571.21
19.470435829717548,475.39827639690276,31.538089688846174,3,4,0,0,0,0,1,1,518.96
89.3633408505078,979.4686481888514,191.4130116063433,5,3,2,1,2,2,2,0,740.56
54.394881949649424,114.91192617135174,39.05000253005221,1,1,3,0,2,1,2,0,471.72
80.93657536124219,221.0556015738417,4.822438089976919,9,3,1,1,1,0,1,2,569.96
89.71303869242583,184.90932314711608,48.987373111056094,4,5,0,1,2,1,2,0,661.62
32.48234402221452,602.8186078966875,172.52609175309772,3,2,4,1,2,0,2,1,584.32
11.895140528239999,737.742592516218,114.65968193864873,2,7,0,0,2,0,2,0,658.47
23.565581091652227,387.61002991533746,168.88655603277127,8,7,1,1,2,2,2,1,728.9
43.28367107399937,957.9617548566467,135.3881452999783,6,8,3,1,0,1,2,1,691.91
81.98346182632682,644.6180389355887,179.77893216694224,3,6,0,1,1,2,2,2,800.21
86.212327742378,963.7991168393963,116.35474444320192,1,3,2,0,0,1,1,2,615.01
1.6882609225878795,681.8381376203379,132.86006004724132,6,2,2,0,1,2,1,2,581.59
51.56398295517901,39.70558459054048,35.68488966877938,1,2,4,1,1,0,1,2,460.86
42.32368931172912,22.08485153053114,65.54457433634286,8,4,1,0,1,2,2,0,542.96
22.988673236602295,41.58481097568162,120.20788477225707,7,7,0,0,2,2,2,1,653.73
12.866671366034598,847.5610254183795,24.119136317191177,6,1,2,0,0,1,2,1,534.2
34.423901968959164,529.9855148471058,167.7195625576802,1,6,0,1,2,0,2,1,715.34
94.3480606873394,459.9132984716434,199.19078485285056,1,3,0,0,0,1,2,0,614.35
32.99709027005477,760.1002035591154,175.30768128861166,2,4,3,1,2,0,1,0,591.88
52.36027155259325,622.6433063810105,151.9054539588886,6,5,4,1,0,2,2,1,626.01
70.59887693062261,239.7376089583106,81.64369635332847,6,8,0,0,0,2,1,0,596.85
36.9993306355501,373.7845151292697,139.34399897514763,1,0,1,0,1,0,1,2,517.11
97.20642618937511,844.8652686343278,85.03259753774381,6,4,0,0,0,0,1,2,633.91
96.282282199269,368.3611226959921,2.047700344320783,4,1,2,0,1,2,2,0,535.4
25.926447286711053,550.7100299857138,149.53668013426199,1,2,0,1,2,0,2,1,662.99
50.22760208334616,746.3380227221973,196.0537290491444,1,5,1,0,1,0,1,1,614.77
30.786952671860195,148.34580467341166,149.9193325803611,4,9,0,1,1,0,2,2,699.99
29.199208943369293,188.12068079968395,100.01350947584817,3,0,1,1,0,2,1,0,505.99
4.651807788098747,922.6185777306595,4.09905607544246,7,8,2,0,0,0,2,1,592.66
61.34686906400979,757.2176703497829,149.83091736558058,3,0,2,1,1,0,2,0,587.17
50.765223299657286,664.3683738892549,81.1013461175272,8,6,0,0,2,1,1,2,683.5
6.096396373748946,828.3762546770711,30.20422484902243,1,5,2,0,1,2,2,0,600.08
28.585999959424534,999.9259667342343,151.5427061289301,7,7,1,1,0,0,2,0,682.07
90.91832271069872,420.06728145977957,23.20605395858687,0,3,2,1,1,2,2,0,613.7
24.71662717603027,323.11500925974184,28.96519387477362,2,1,1,0,0,2,1,2,514.72
15.344592337031086,181.5721220506214,38.4921889416424,9,8,4,0,1,2,1,0,484.45
49.45582326747874,510.8077111498678,8.591876591318695,1,5,0,1,1,1,2,0,648.13
98.57939495694947,888.3639732208937,110.26279322618556,3,9,3,1,2,2,1,0,726.99
24.96347187963854,501.4928454039083,126.10823179467798,8,5,0,0,0,2,1,2,628.07
67.54141919318198,152.87113256837037,199.9224054854322,6,1,3,0,2,0,1,2,508.08
76.40034191754305,858.0635521775117,118.62214607073639,6,0,0,1,0,0,2,1,645.23
24.52611685524757,630.8747179614992,17.849636742659122,9,0,2,1,1,0,2,1,547.87
73.0934185125741,541.3883840969237,69.50355975640923,2,6,1,1,1,2,2,0,688.52
37.41053013920607,781.5754972934297,43.61319392295825,8,1,0,0,0,2,2,2,635.62
63.59827722876437,246.03523677522,96.35783129571269,5,0,0,0,1,1,1,1,527.9
63.71944136532858,560.1330394361657,76.79391300831618,6,3,3,0,0,0,2,2,536.68
54.04169372340109,706.6139117781076,131.33710227427306,2,0,0,1,2,1,1,1,655.07
9.938687235386421,513.7940898768313,182.12859606885974,2,1,0,0,2,0,1,0,542.41
83.69494706333455,437.44345313565594,173.45938879373566,9,5,4,1,0,0,1,1,542.57
32.75722643220185,860.7851177727102,64.38754471886583,9,7,4,0,2,2,2,0,624.23
19.46533252958557,5.791331816712701,86.56755963323918,9,6,1,1,1,2,2,0,605.16
5.036739013921627,342.12343275297326,112.4093258932542,0,4,1,1,0,1,2,2,620.33
59.49840137563594,978.1922104445971,84.35330079170089,7,4,1,1,1,1,1,0,655.0
68.07887182238596,352.28866300168386,146.4307739618448,0,4,2,1,2,2,2,2,705.36
2.642195063857759,955.1372971331317,159.22556135954775,0,2,0,0,2,0,1,2,643.28
51.69721277162882,660.1971881100279,105.50207884254897,5,9,4,1,1,2,2,1,689.13
23.42308174459586,32.80269614983662,180.99060055759875,5,9,1,0,2,0,1,0,562.28
64.87210625053554,830.5575170661206,12.458770928431525,0,5,3,1,2,1,2,1,670.15
18.262276471494154,382.6164205221871,199.37136900636276,5,7,0,1,2,2,2,1,756.23
69.40283607214413,499.2538649332555,1.2890635268318826,8,0,1,1,2,2,2,2,666.01
39.286799283753204,757.0089338130003,179.29948842823612,3,5,3,0,1,1,1,1,583.74
93.73626888493672,56.98449407364584,15.95869163733946,8,8,4,1,2,0,1,1,547.77
14.614573470453331,24.648581990338975,41.967379906090365,9,7,3,1,0,1,2,2,559.79
34.76556875397559,39.34482210608832,119.02851495341456,1,8,2,0,2,2,2,1,623.75
12.233878602818319,711.7476921250304,140.41602978943132,7,1,3,1,2,1,1,0,556.82
92.54466820957772,284.8006941963751,167.00351992399067,0,9,4,1,0,2,1,2,643.84
87.85659598471712,77.64342773054689,33.713847879091226,4,9,2,0,2,0,2,1,598.14
26.536221143800404,668.0720475549402,20.056578966635467,9,4,3,0,1,1,2,2,576.93
66.33842055738373,288.22748843554314,155.94008111703644,4,2,2,0,2,1,2,1,582.89
81.90499781992037,235.72370559697626,72.49148783613175,7,8,2,0,2,0,2,1,611.16
55.96488034834677,520.2170545744203,8.504479999491796,5,0,0,0,1,2,2,2,617.3
53.43540725724464,440.89187817577545,187.27773600608143,9,1,2,1,0,0,1,0,508.81
24.943376799144716,55.976434044764204,147.859258981906,5,1,3,1,0,0,1,0,418.27
10.217174012784023,496.0794078075545,83.82478967009675,2,5,2,0,0,1,2,2,575.8
89.82436003737935,864.8790783491781,51.94069397665805,2,5,2,1,0,2,2,2,718.24
90.14138765916971,123.79193765987293,121.08562532388072,4,8,0,0,2,1,1,1,648.21
63.67704427005353,652.4122542895935,103.61462586848165,4,4,0,0,0,0,2,0,588.58
34.56394931382137,428.16432645524674,67.56639722107248,0,4,0,0,1,1,2,2,633.66
35.57174788665343,26.371828016030538,85.3371836066714,9,9,0,0,1,2,1,2,638.06
72.8696122081537,347.42385227705773,101.69984115025225,9,9,3,0,0,1,1,0,533.62
89.81391573530513,549.2550612782803,72.32604188737454,2,9,2,0,2,2,1,1,674.59
88.82155600224661,435.66790254317004,131.65110760410917,9,0,0,1,2,2,1,0,639.79
78.20767903990476,600.4972143682808,177.39783491195553,4,0,4,1,2,1,2,1,606.48
64.5611329692745,758.6551490364801,24.22469606260451,3,9,2,0,2,1,1,2,676.01
9.329856534509835,621.5509712703849,168.46101576406423,4,6,0,1,2,1,2,1,737.77
17.001242695366763,880.0004936301698,69.3549701701696,9,4,0,0,2,2,2,0,678.5
89.95686466418084,228.6806407160152,11.143773911157206,5,9,3,0,2,0,2,1,588.17
61.036476906299406,894.9595688070723,123.8429823494767,3,5,4,0,0,0,1,0,503.88
1.9105081100463353,248.87459931095214,64.37007766852585,0,6,3,1,0,0,1,2,515.34
11.045682743737178,791.8724386595896,51.41926561900006,8,5,3,0,1,0,1,2,544.87
66.68667514169752,664.1840224432731,31.40946627332632,9,6,2,0,2,2,1,2,656.03
1.50109680077565,594.696939857177,70.15304633926569,6,3,4,1,0,0,1,2,498.54
16.919997090332366,344.56721243539454,101.40097155654512,7,7,0,1,0,2,2,0,658.51
55.324645147292024,27.702102548335695,128.13142292201422,3,0,2,1,2,2,1,2,575.88
69.49762457157664,535.9880873270872,108.1509260257064,3,7,3,0,2,1,2,0,613.72
65.54416469075746,664.5360336384742,167.62392781586445,6,6,0,0,0,0,2,1,652.33
23.20266163659542,336.7455241572525,3.0911895781419774,6,9,1,1,0,0,2,0,591.07
71.50574291340605,628.1667643687406,131.25480939989205,3,2,4,1,2,0,2,0,572.55
24.48765966218321,204.29537464701622,189.3750264989725,6,2,3,0,2,2,2,1,561.41
33.21457011776751,603.0687850875094,32.239869021104354,3,2,1,1,0,0,1,2,563.67
74.9026491066844,206.8415781197475,109.17651934703458,3,4,2,0,0,1,2,1,543.23
65.31365700567426,72.53379733790034,13.951249906927995,9,7,4,1,2,1,1,0,524.24
85.07311763892362,906.171989290774,164.5358023659919,8,5,4,1,0,1,2,1,653.91
66.10367633773399,251.15076441239083,33.38871930821788,9,4,3,1,1,2,1,0,538.28
57.26255173021169,39.88233938472545,40.404487474635054,8,1,0,0,0,0,1,0,429.71
10.273802014981156,552.9418614940581,44.40834601367273,2,9,2,1,1,1,2,1,666.41
37.40386450288392,208.1151775886238,114.09866196369263,9,5,2,1,1,2,2,2,655.12
27.25503440049082,677.8509932971289,100.82488369791247,8,9,2,1,0,2,2,1,701.99
25.154974694529272,283.785973119058,95.00450508939382,7,9,2,0,2,2,1,2,642.14
97.32804492049212,474.315187600105,147.55982160345283,9,3,0,1,2,2,2,0,721.81
39.91667474200928,596.298993205816,46.5298799561321,2,3,1,0,0,0,1,2,534.41
89.31260896253421,729.6951286404692,50.39363375568336,8,5,1,1,2,1,1,0,666.98
63.48272397372902,383.5078191267688,180.31466855195177,9,6,4,1,1,1,2,1,621.61
79.6863190506232,42.443779366981666,4.372933119116707,1,8,1,0,1,1,1,0,536.84
50.76107221741402,178.75497724872355,162.825734464125,7,9,0,1,2,2,1,2,750.77
58.113484578009555,682.0577303496516,135.17092401702197,9,0,3,0,0,0,2,1,503.65
49.75925168806753,918.6434238598295,129.10671504075157,8,8,2,1,1,0,2,0,688.88
20.329055792006404,132.80781723364828,46.514518544524876,9,3,3,0,2,2,2,2,552.81
72.52275941088902,439.4003792722572,71.47842233836339,9,3,0,0,0,0,1,1,537.13
28.796463881644723,857.5205721644314,120.14602860308047,9,8,3,1,1,1,2,2,716.49
3.4072806767139303,756.3904781848273,38.05628488586684,8,4,1,1,2,1,1,0,615.56
64.90175729480961,898.6978939843864,12.796984085160748,1,0,3,1,1,0,2,1,573.39
18.533957261297846,271.99486281853825,59.56694213215248,8,5,1,1,0,1,2,1,594.51
94.10539985093851,916.4679114467407,157.25620088391338,7,3,0,0,2,2,1,2,739.12
95.43892912325614,450.6547451272048,51.37433293338337,7,9,4,0,0,2,2,2,625.93
91.5715746318244,194.97022187307653,31.180055892441278,0,4,2,0,2,2,1,1,566.37
37.64571132528899,595.6330282171098,104.80993184119963,4,8,1,0,0,1,2,0,616.69
2.5302050363578754,741.4312237894557,173.57061136113936,1,1,4,0,1,0,1,2,493.62
92.90353769618481,734.5684652824042,81.16264790422913,5,4,4,0,0,0,1,1,501.75
43.39023068341412,686.7016474936182,57.07043632510078,9,2,2,1,2,1,2,2,665.42
96.69882708532329,269.68866457003986,152.76052698339763,2,6,0,1,2,1,1,1,698.91
96.39837773183604,317.7631810404208,187.54188311643986,4,4,1,1,2,1,1,1,665.89
85.44793609126864,428.4971930737943,71.39225469951378,4,3,1,0,2,2,1,0,588.43
30.150440314888982,891.4985935901294,46.850848877879095,1,2,2,0,1,1,1,2,575.94
39.1246751315906,868.1904526456578,68.24556632755473,9,4,3,1,1,0,1,2,605.67
85.26253048016883,75.79309093643133,0.9313958884397229,7,4,2,1,2,2,2,2,647.3
32.37527851047149,584.4108115306416,171.78959333177326,3,8,3,1,1,2,2,1,698.38
17.779781921923156,484.8062974781066,137.9090001317971,8,9,1,1,2,0,1,2,695.38
56.12332498337666,234.67216825719055,29.376367870910443,5,9,0,1,1,0,1,0,612.28
93.67932264191731,62.81686625239515,148.41262671156372,8,5,0,1,1,0,2,2,672.4
69.90694987082233,413.6312909301506,90.72570806834278,0,4,0,1,1,1,1,2,665.46
57.43605583884713,393.37513652914794,43.99024061892295,4,9,4,0,0,2,2,2,599.84
10.620472883306086,545.0227420823852,172.04593364643102,4,7,2,0,2,0,2,0,602.23
61.885715443217805,170.51125843945877,180.22730969230872,2,6,1,0,1,1,1,0,561.12
99.01533116032206,189.4172372080559,152.33086568924708,0,9,4,0,2,2,1,0,585.76
14.86831750841588,692.2801173976112,7.8948045191422125,8,1,1,0,1,0,1,1,501.63
52.314635584009935,859.2002160445007,138.49070046742509,6,1,4,1,2,0,2,1,603.84
87.85993412086759,278.8356186675645,94.83914216198374,2,8,3,1,1,1,1,0,589.23
74.33609315766624,286.5970224700244,194.27612031766623,4,3,4,1,2,2,1,0,572.06
70.00455835853153,798.3472508317509,86.1363938469322,7,3,3,0,1,2,2,1,616.09
70.54592431472382,28.514580922105647,114.15639326988426,1,6,2,1,1,2,1,1,603.09
36.58962397075576,852.5761498015008,32.41842279637419,2,8,1,0,0,0,2,1,629.26
30.06559258218484,71.3797209810771,67.7023355776617,1,0,2,0,1,2,2,0,473.64
81.12675439237285,550.0663759940442,35.913518069602254,1,2,1,1,0,2,2,1,638.88
81.2012260732389,837.994553023725,198.71558769728298,9,2,4,1,2,0,1,2,628.85
86.84015953943026,647.1776088483776,99.66847943425847,7,7,4,1,0,1,1,2,621.12
91.41081470309067,282.40734454235184,54.4786586121617,2,9,2,1,0,0,1,1,593.55
51.62289748723284,790.4591821184922,39.23539024609146,3,0,1,1,2,1,1,0,595.69
50.65011317403276,348.7859289520863,13.717450454067205,7,5,1,1,2,2,1,0,619.37
80.03122271771073,822.3327071745315,105.4983818092318,5,7,4,1,2,0,2,0,651.34
65.34642914699874,925.7673291956976,41.20619349723714,2,0,0,0,2,0,2,1,629.93
70.49472084851263,907.5227124090519,78.2498877071373,7,0,3,1,1,1,2,1,615.55
79.783474274174,92.07957094277747,150.18274044351907,8,3,1,1,1,1,2,0,599.9
89.11052883993906,467.0325623742317,43.31918274143353,0,5,1,0,1,1,2,0,599.73
34.461520528302046,848.5099550423674,68.30216953480645,9,2,4,1,2,1,1,0,554.65
38.18271231135446,198.98827201699848,102.22168303321452,7,8,2,0,2,2,2,1,640.02
10.30421204424603,975.5072220739261,20.875221306037222,1,8,0,0,1,0,2,1,675.21
58.24973395862122,729.6970493739306,26.33702706731436,2,9,4,1,1,0,2,1,635.27
4.5582851058774665,341.6717543870385,119.61644439638009,3,8,4,1,1,0,1,1,540.24
47.09420379511356,269.19201816485514,181.70124115936105,8,5,3,1,0,1,2,1,589.35
54.72181883605008,894.3601450004093,84.79137316584337,3,6,0,0,1,0,1,1,643.12
29.367583960700156,645.0436243068852,115.73205611931607,4,5,1,0,2,0,2,0,609.49
59.492492796332066,836.5346125282942,184.92418535909817,0,6,0,0,2,0,1,1,685.21
4.019524743965894,726.8599924758385,6.217997079912296,3,6,3,1,2,2,1,2,651.57
4.6974706861722275,632.4464489428321,159.63095834614305,1,1,0,1,2,0,2,1,653.33
82.43745550530616,676.9351569531512,125.78811856852504,1,0,0,0,2,1,1,2,640.26
36.65887349971503,171.49461658983333,154.34690651098657,5,0,0,0,2,1,2,1,578.39
13.578990752536594,992.6219625651078,171.29675764342278,2,0,2,1,0,0,1,2,585.69
52.702082745425635,415.9725570340717,99.62675065500508,7,1,3,0,0,0,1,1,438.59
77.22936175676247,75.2317659137056,73.60458589159835,1,5,4,0,1,2,1,2,520.71
22.366281722187473,662.3024547236568,48.8393433516562,4,6,1,1,1,1,2,0,650.88
62.66615710608102,865.2951643456255,136.2932114291771,8,2,2,1,2,2,1,0,655.43
9.449399034383031,52.06602971868343,114.67322684449994,3,4,3,0,2,1,1,0,461.08
6.116490395692162,763.5388286293498,103.23787632538864,2,6,1,1,1,1,2,0,667.76
53.60410852524665,181.03401327313884,184.7428964464758,2,8,0,1,1,2,1,1,699.25
54.52287703940055,42.26166498775758,145.92393962813432,1,2,2,1,1,1,2,2,592.99
64.10556024832245,192.55238423646503,46.85227585226931,9,5,2,1,1,1,2,2,626.8
